id,bqaffp_90_2.0
CHEMBL446313,00011101101111110010111111111111111111110111111100111111111111110011100000110010001011011111110111010110111110001110101111110110111010111100111111101111110111110111111110111111110110110101111111100111111010010111111111111111101111101101111110111010111111111111111100101101101111111001111111110111011110101101101001011110001111011111111111111101011111111111100101111101101111111110111010111111111011110110111101011111111100001011011011110010
CHEMBL591255,01011011110111010101111011111111111111111001111111111111111111110110010010110010111111110111110011111111111101111110101111111110111111101101111111001110110111111111111111111011111100110111110111101001101101110111101111011100111101111011111110001010111111111111101110111111110110011110101111110011100111101101111001011110011101111111111011110111011111011011111111111101101110111100111111011110111001110110111111011101111100011110011111101110
CHEMBL558642,10011111111011001111111111111001111111101110111001111110010101111111010110100010101001111100100111110110111010010111101111110101111111111101110110011111111111111101011111000111111101110111111111100001101001110111011111001100101111111011111110110111010111111111111110101111110110111110101111011011001110110101111001100100011111101011111111011111111110011101010101111101111111011110111110011010111111110110111111110111110100011111001111101100
CHEMBL454291,00010010101101000101010100010001011111101100001100101111010111100000001100110010000000011101000111010010010111010000100011000011011000100100110100000111000111110001010111001010110000100001001111100001101000000111101101000000101011101000111110011100011110011011111000011100110110010010000110000000011000101001011001001100000100000111111000110111011110101101001101111001011111010110110110010110111001110000111101000001111100010100001001100110
CHEMBL317514,11110111111111110101110110111101111111111111111111111111110111110111111010100010101111111111110111111110111111111111101110010111111101111111111111111111111111101111110111111011110111110111111111111011101101111111011100111101101111111111111111101111011111011111111110111011111011111101111110110110101111111001111101111111101101001111111011011111011111101111101110111001111111101110111010111110111011110110111111111111110100010100111111101110
CHEMBL1097706,11111111111011011111111111111111111111111111111101111111011111111011110110101011111111111111110011111111111101110111101111111101111101111111111101111111111111111111111111011111111110110111111111111011111111111111011111111111111111111011111111111110110111111111101111111111111111011111101111110110010111111101111101111111111111101111111011110111111111111111001101111101111111111111111111001110111111110111111111111101110100001111111111111100
CHEMBL1097707,11111111111011011111111111111111111111110111111101111111111111111010110110111011101010011111110011110111111101010010101111111101111111111111111111011111110111101101111111011111111110110111011111111011101111111011111111111111111111111011101111110110010111111111101110111111011111011101101111110110101111111001011001111111111111111111111010110111011111011111011100111001111111111110111111011011111001110110111111111111110100001111011111100100
CHEMBL305942,00111111111011100111110111111111011110100111111111011111011101110111110110011001101110111111100011111111111111010111101111110111111100011100110000011111101110111011011111001111110010110111100111111011101011111011011111001101111111111101111111110110011111011111101110101111011110010011111111110110011111111101111001101101111101011011111011110111011110111111001101111001111111101101111110010011111111110110111111111111111100001100101111101110
CHEMBL85538,11111011100111011011111111111111111110100101111111111111111111110111100110111011111111111111110111111111111111001111101111011111111101011110111111101111110111101111101111011000111100110111010111111011101011101111111111111111101111110010111111110111111111111111111101101111111111111111101111111111001110111101111001111110011101011111111011110111001111111101111101111101111111111110111010111011111011110010111111111011111100011111001111111110
CHEMBL139526,11111101111111010101111100111011011111100100111100101111011111110011101111110000111100011111000011011110011111010111001011010101111101011100110110001111110111101101111111000111111100100101011111101011101111110111111101111101111101011011101111110110101111111101001100011111100111011011101110011011001110101101111101111111111111011111111011110111011111110111011101111101111111011111011111011011111011110110111101010101111100010100111111110100
