id,bqaffp_90_2.0
CHEMBL2180999,10011111111101001001111111010101111011101011111101011111110111100011110000111101111000111111010111111010011011011110000111101101011011011100110100101111110111111101110011101010000001110100110111100011101111111011111011011100101111011110111010111101001111011111111101101110111001011000110111000011001111001011111001001111111101011111111010110111111111110111000101111100111111011110011110011011111011110110111101011111110100101101111110110110
CHEMBL465563,00111001101011010111111101110111011111100111111110010011111111110111001000110010101101010110110111111110011111011110101011000100111100101100110100110101110110011111001011110011110100110111110101110101101001100011111011011111110101111000111111010010010111011101111100101100110011001001010111000011011111111001011101011100100111111101111110010110011110111111000100111101111111111110111111011010111001110011111101011111111100010100111011100110
CHEMBL384455,11111111111111111111110111111111111111111111111111111111111111110110111111110011111111111111110011111111111111111111101111111111011111111100111111011111110111111111010111111111111100110111111111111011101111111111101111111111111111111111111111111111011111111111101101111111111011111111101111110111111111111101111101011110111111011111111011111111011110101111111111111001111111111111111101111111111111110110111111111111111100011111111111110110
CHEMBL3086620,11011001111111111101110111111101011111100101111101101111001111110011001110110010111111111111100111111110111111010001001111111110111101111101010011011111111111111111111110010101110110110101111111100001001100011110101010110101101111000011111111110111010101011101111101101110110101111111100111110111011110111001111001011110011111010111111011110111011110100111001100111001111001111110111001111011101011110110111011111001110100000100000111100110
CHEMBL1957013,00111101101110000101010011100101001100100001101101011101010111110010110010100010100101011111010111010110011100001110000111010100111010100100110101101111010111111001011111101110110011111111100111100001001001101111101101011000101101010101111100101110011101011101111101011110011011011000100111110011000110001101111001000100001101111111001110010111111110100111100100111101111011101110111010110110111001110110101101010011111100111100001011110000
CHEMBL1789533,10111101101111011111110001111001011111101011111101001011010011100111111100101000111101111110000111010110010010011110001011110000011011101100110011101111011111111001111011101110010101110111010111100100110000110011111011111100100111000100111110010000011111011110110110101111100011010010111111000101011110101101111101101100011101111111111010110111011110110011000100111101101111001110111011110110111001110100101111101011111100000000011111100110
CHEMBL217029,10110000101101011111110011110101011111111111111111101011110111100111111011010010101010110111100111111110111111011010100111111100011111101100100111001110100111111011011110111011010100010111101111110001100101111011111111011001101111101011111110111111011111111111111100101110111101011110100110110111011110101101101101111100011111101111111111110111011100001111110100111101111111101110111010110011111001110010111111110111110100000101111010110100
CHEMBL3113305,00010010101111000111110100100111011111100101101101000101111011000011001000110110101001111110010111010010011010001010001100100000011110100100110110101101000111111001011011100010110000110111010011100001101001101111011101011110101111111001101110010111000101011101110110101111110111011000000010010010011110110101001001101110000101111111011011010111011110001111000100111100110111011110011110011011111001110010111111111001111100010000101010100000
CHEMBL375062,10111111111001010111110111111111011110111111101101111110111111111011111010100011101101111111000111110010111111010111101111011111111110001101111101001111110111111111011111001111110000110111111111110001101111111111111111010110101111101011101110011110111111111111110100101111010011011111101111111111001111111001111101111101101100111111111111110111111110110111100101111101101011011110111111011110111101110110111101111111111100001111010111111110
CHEMBL2181004,11011001101101001111111111110101111011111011111010011111101111100010110000110101101001111111110111111110011111011111000111110101011001011100111110001111110111111101111011101111011101110101101111110011101111111111111111111101111111011111111111010100001111011111010101101111111001111001111111010111001111101101111101101110111101011111111010010111011111111111001111111100111111001110011110011011111111110110111101010110110100101101011110110110
CHEMBL1079274,11011111101110001111111111101101011011100110111101111010111111110010000010101011101011111111010111110010111110000110101011101111111110010110111101111111100111111111010011001011111110110111111011111011101001010111111111111100111111011111111110111110011111010111111110111111010111011010100111010011101111111101111000100111011101111111111110010111111100101111111101111101111111111110111111010010111111110111111111110111111110111100101010110110
CHEMBL99456,11111111111101010111111111111111111111101111111111111111111111111110111110100011111101111111100111111110111111111111101111100101111101111101111110110111110111111011010111111111110101100111111011110111111101111111011111111110111111111011111111011111111111111111111101111111111110111110101111010111111111111101111101111110111101101111111101111111011110101101111111111101111111111111111101011110111011111010111111111011111000011111111111111110
