id,bqaffp_90_2.0
CHEMBL2180586,01011111101011010101110111110101111111110011111101100111011011110111001110110000100011010101100110011110111110111110100111000110011101100100000100001110110111111101100011101011010100110001110111100001100011111111101011110101101111011111111110010111001111111111111110111110000110101110100110010011001110111001111001111101101111111111111011011101011110101011001101111100101111001111101110011000111001110110111111110000111100011000101011101110
CHEMBL470657,11111111110011010111111111111011111111111111111101011111011111110011111111110011111101011111110111111110111111010011100111101111011111111111110100011110111111111101111111011110111101110111111111110011101111110111111111111101111111111011111111111110010111111111111110111110010111111011101111110011111111111101111101111111010111111111111101110111011110101111011111111001111111111111111111001111111001110111111111111111111100001111111111111110
CHEMBL2180584,11111011100111011101110111110101111111110001111101011111011111111110001010110011101000000101100110111111011111011010100110111010011110010100111111111111100111111101111011111111010101110111110111110101100011101111111111111101111111101001111110111111001111011111101100111011110011111111100110110011001110111101101001111101111111111111011110111111011110101011101101111101111111111111111010111010111011110010101111111011111100111101101011111110
CHEMBL1778262,11110001101111011111110111110001111111110111111111111101110111110111111111011010111110111111010111111110111111110111000011001111111101111101111111111111101111111111011111001111111101110111110111110111111111111011001101110111111111111011111111111110111101111111111100101111110111011111101111110111001111111101111101111111101111111111111111110101011110101111111111111101111111011110011111011011111111110110111111101101111100000100011111101100
CHEMBL2180582,11111111111111011101110111110101111111110001101101101111111111111110001010110001101001000111000110011111111011011110100110111111011010000100111110111111110111111101100111111111010101110111110111110111100011101111111111111111111111111111111110111111001111011111101100111001010111111111100110110011001110111101101001111101111111111111011110111111011110101011101101111001111111111111111110111011111011110110101101111011111100111100100011111100
CHEMBL2180583,01111001110111011101110111110101111111110010111101110111011111111010111110110100101011000111000110011110111011111111100110111110011011000100110111111111110111110001011011101111110100110011110111100101100011101111111101111101101101111110111110111111001111011111110100111011111111001010100111100011001110111101111101011110111111111111111111010111010110101011101101111101111111111110011001110010111001110010111011010001111100011101101011111110
CHEMBL2180580,01111110101111011101110111110101111111100011111101111110011111111111101110110111101001000111100110011111111111011110101110011100011010001110111111111111110111111101111111111110010101110111110111110111100010110111111111010101111111111001101110111111101111011111101000110011111111111110100111110001001110111101111001111101111111111101011111011111011111110011101101111001111111111111111000111010111011110010101111111011111100111100110011110010
CHEMBL310529,11111101110111011001111010111011011110110111111101110111111011111011101100110110111110111111100111110110111111001111101111001111111111111101010111101111010111110101100111101011011110100111111111111001101001011011011101111111101111001111111011101110001111111111111101001101010010110000100111000111111111001101111001101100111101011111111011110110011111111111000101111101101111111110111110010110111111110110101111110001111100011100110111111111
CHEMBL514389,11111111111111111111111111111111111110110111111111111110111111110010111100110011111011111111010111111110111111010110100111011101111111101101111111001111110111111101011111111111011111110111110111110011101110010111101101111110111111111001101110010111011110011111110111111111010111010110101111001011111111111101111001110110011101011111111010110111001110001111110110111001111111111110111100011111111011110110101111011101111000011100011111111000
CHEMBL2180588,01011010101011011111110111110001011111110011101101100111011011110110011110100110101010011101000110011110011011011010101101000000011101100100110100001110110111101001111011110111110100110111110111100001100001111111101101010001111111000110111110111110000101111111111000111100111110011110100111010011001110111111111000101100111011111110011011010110011110101011001100111000101101101110011110011011111001110010101111110000111100011100001010101100
