id,bqaffp_90_2.0
CHEMBL2414650,11111010111111001111110111111111011001110111011101111011010111110111010111110001111010111111010111111111010111011011000011001101111111011101111111001111111111111111111111001011111101110101010111111001101110111111011101011111111101011001111111110110011111111111111101101111110011011100100111110011001111111101111101110110011111111111111010110111011111011101001101111101111111111110011010110011111011110111111111011111111100001101011111100110
CHEMBL2205266,00010010100000010100010100100001011110000010101000011011110101100010000000110010100001010100000110010110010010001000000011000100001010000110110100001111000011100101010111100010110000100001000111110001000000000111000101010000101101011000101100011101001110011110111100011100000000010000000110011001000011101001101001111100010101001111110000110111010100101001100100111001100100011110111100011010111101100110101101110000111100000100000100110000
CHEMBL2402404,01111111111111100101111110111101111111110111111111110011111101110111111010110110101111111111100011111111011111011100101111011101111110111111110100011111110111111101011110111110110101110111110111110011111011111111111111011000101111111101111111111010011111011111101010110101111011011110101111010011001111111101111001111100010101111011111011010111011110101111000101111101111111011110111010111010111111111100111111111110111100011111001110111100
CHEMBL2336603,11110100101011110111110111111111011011100011111101011111111111011010100010110010111011110101100111110010011110011110101111110110111110110111110101011111010111111101110111100010110111110111010111110010101111011011001101011000101101011100101110111110010111111111111101111101111111011000110011010011001111111001111000001100101101011101011011010111011110100111110100111101111011111110111101011110111001110010111111111011111100011001001011111110
CHEMBL39003,01110110101111010101110111010101011010010100101001010111111111000110011000001011110001110101000111011110111000001110100001000000111111111100110101001110110111110111010011110111011100110111111111110011101001011011101101011100101111001010111110001110011110111111011100101100110000011010100011010011001111101101101001101101001111110111111010010110011111111111000100111101101111111110111110011010111111110110111111011000111100001100111111100100
CHEMBL380916,01110111111111111110110110111101111001110111111101011011110011111110101110010011101111111110100111110110111010000011101011110101111111101111010111011100101111111101010110011111010100110101010111100011101111111011111011111101101111111011111110110111110111111111010100111111010011111001100111111111111111111101011001101100001101111111111100110111001111110111011101111101110111111110111011111011111001110010111111111111110100000100011011101100
CHEMBL1269812,11111111111111110101110111111101111111111011111111111111111111011011111110111011111011011111110011111110111110111111101111110100111011111110111111011111111111111101111111111110111100110101111111111001111111111111111101111100111101111111111110111111101111111100101110111111111111111101100111110111011101111001111101111110111111101111111011110111001110111111111101111001111111111111111010111011111001111110111111111111110100010110111111111110
CHEMBL1277383,11010111111010010110110011111001011111110111101101111111110111110010101110110011110100010111000111010110010010000110101111010110111010111001100110001111110111111111010111001010110100110111000111100001101001111011101101011000101101101001101111010111110110111111111111111101110001111110100110100011110101111001111001101110001110111111111011110101011110111111101100111101111111111111111011111110111001110111111011101110110100010110101110110100
CHEMBL17029,10011011111111001111111111111101011001110111111111101111111111110011111100110110111001000111100111011110111110001110101111110110111000111111110011100111100111111101111011111111010101110111111111101101110011111110101111011100101111011011111110010111101111011111111101111111010101010001110111100011001111111101111001101101101110111111111011110111011110101101001111111101111011111111111010111111111001111111111111110111111100001100010110100010
CHEMBL1829657,11111111110011011111111101110111111110111111111111111111110111111111110010101011101111111111100111111110111011000100101111110010111110011111110101111101111111111111111111011010110100111111111111110011101110111111111111011101111111111101101110011110011111011111111100111111111111011111111111110011101111111101011101101111111101011101111110010111111111111111110111111100111111111110111111011011111101110010111101111100110100001100111111111100
